L1	KO	Function	EC	Count
Function unknown	VOG00002	sp|Q5UR40|YR559_MIMIV Uncharacterized HTH-type transcriptional regulator R559		1
Virus protein with function beneficial for the host	VOG00004	sp|Q5UPJ9|YL122_MIMIV Putative ankyrin repeat protein L122		1
Virus replication	VOG00006	sp|O22001|VXIS_BPMD2 Excisionase		1
Virus protein with function beneficial for the host | Virus structure	VOG00018	sp|Q5UP57|P4H_MIMIV Putative prolyl 4-hydroxylase		1
Virus protein with function beneficial for the host	VOG00025	sp|Q5UQG7|YR818_MIMIV Putative serine/threonine-protein kinase/receptor R818		1
Virus protein with function beneficial for the host	VOG00033	sp|P00276|GLRX_BPT4 Glutaredoxin		1
Function unknown	VOG00045	REFSEQ hypothetical protein		1
Function unknown	VOG00047	sp|Q5UP92|YL018_MIMIV Putative sel1-like repeat-containing protein L18		1
Virus protein with function beneficial for the host | Virus structure	VOG00051	sp|O64333|TIPK_BPN15 Tail tip assembly protein K		1
Function unknown	VOG00053	sp|P13004|YLYS_BPPHV Uncharacterized protein near lysin gene (Fragment)		1
Virus protein with function beneficial for the host	VOG00055	sp|Q9SYM5|RHM1_ARATH Trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1		1
Virus protein with function beneficial for the host | Virus replication	VOG00056	sp|P22877|INTR_SACER Integrase		1
Virus protein with function beneficial for the host	VOG00060	sp|Q5UQ27|RABL_MIMIV Probable Rab-related GTPase		1
Function unknown	VOG00066	sp|P41039|YBII_ECOLI Uncharacterized protein YbiI		1
Virus protein with function beneficial for the host | Virus replication	VOG00068	sp|P25479|VPP_BPP2 Terminase, ATPase subunit		1
Virus protein with function beneficial for the host	VOG00071	sp|Q03307|US20_HCMVT Transmembrane protein HWLF3		1
Virus replication	VOG00072	sp|P54992|YSNA_STRPR Putative RNA-guided DNA endonuclease		1
Virus protein with function beneficial for the host | Virus replication	VOG00075	sp|O64235|DPOL_BPMD2 DNA polymerase		1
Virus protein with function beneficial for the host | Virus replication	VOG00082	sp|O48500|DUT_BPT5 Deoxyuridine 5'-triphosphate nucleotidohydrolase		1
Function unknown	VOG00085	REFSEQ hypothetical protein		1
Function unknown	VOG00088	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease		1
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00089	sp|A0A0S0MX59|AT_BPPAM 5-NmdU N-acetyltransferase		1
Virus protein with function beneficial for the host	VOG00098	sp|Q5UQC1|YL232_MIMIV Putative serine/threonine-protein kinase L232		1
Virus protein with function beneficial for the host	VOG00106	sp|Q07G10|ALKB8_XENTR Alkylated DNA repair protein alkB homolog 8		1
Virus protein with function beneficial for the host	VOG00107	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW		1
Virus protein with function beneficial for the host | Virus replication	VOG00111	sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda		1
